,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.21658,0.03017,0.16188,0.27347,1.00029
γ,0.07097,0.02116,0.03691,0.11189,1.00136
ρ,0.01308,0.00706,0.00299,0.02554,1.00039
i0,845.6805,492.56213,202.53467,1781.33318,1.00076
R0,2.68895,0.52014,1.7951,3.66436,1.00095
