,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.15119,0.02497,0.10629,0.19961,1.00305
γ,0.07361,0.02095,0.03668,0.1115,1.00181
ρ,0.01335,0.00696,0.00348,0.02614,1.00262
i0,2593.99912,1349.81022,589.21736,5084.69682,1.00333
R0,1.78771,0.25946,1.35864,2.27809,0.99957
