,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.23211,0.02347,0.18835,0.27455,1.00117
γ,0.07149,0.00702,0.05892,0.08503,0.99994
ρ,0.01033,0.00316,0.00513,0.0164,1.00222
i0,489.68289,203.89913,179.36016,866.11421,1.00233
R0,2.85308,0.32641,2.27233,3.48317,1.00197
