,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.31839,0.028,0.26981,0.37378,1.00184
gamma,0.07665,0.02344,0.03653,0.12042,1.00118
rho,0.0387,0.01168,0.01932,0.0608,1.00072
i0,32.58844,10.24664,15.20593,51.78787,1.00022
R0,2.85043,0.43474,2.11065,3.68412,1.0018
