,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.18096,0.03006,0.12884,0.23764,1.00138
gamma,0.09179,0.0294,0.04605,0.15105,1.00093
rho,0.0378,0.00768,0.02361,0.05183,1.00025
i0,309.26726,89.32237,153.62936,473.63709,1.00117
R0,1.41737,0.11328,1.20957,1.62073,1.00084
