,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.39507,0.09477,0.23082,0.56471,1.00645
gamma,0.09001,0.06542,0.00903,0.20476,1.00423
rho,0.04216,0.02142,0.00986,0.08088,1.00815
i0,23.35558,18.3385,1.26463,54.7993,1.00987
R0,3.56662,1.64065,1.3502,6.56844,1.00082
