,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.38156,0.03532,0.31961,0.45145,1.00206
gamma,0.07453,0.02302,0.03514,0.11725,1.00035
rho,0.03902,0.01191,0.01957,0.06146,1.00148
i0,92.05804,38.40421,33.91274,160.01626,1.00053
R0,3.48267,0.61044,2.31874,4.52739,1.00054
