,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.2936,0.03507,0.23506,0.35912,1.00268
gamma,0.08003,0.03258,0.03019,0.14176,1.00207
rho,0.03966,0.01232,0.01942,0.06284,1.00045
i0,275.24508,88.65533,128.22519,446.11135,1.00066
R0,2.57103,0.44549,1.79643,3.39012,1.00268
