,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.69375,0.03907,0.61929,0.75995,1.549
gamma,0.67496,0.03832,0.60516,0.74339,1.54586
rho,0.05965,0.00499,0.05196,0.06892,1.52547
i0,6766.1576,77.0165,6629.0,6920.0,1.03684
R0,1.02787,0.00137,1.02638,1.03031,1.03225
