,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.33421,0.02957,0.28109,0.39049,1.0018
gamma,0.13209,0.02638,0.08302,0.17802,1.0017
rho,0.04302,0.00958,0.0246,0.06053,1.00472
i0,6743.4946,82.25023,6588.0,6895.0,1.00156
R0,1.94033,0.24361,1.5381,2.4235,1.0026
