,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.3117,0.03204,0.2564,0.37393,1.00206
γ,0.12634,0.0122,0.10423,0.1489,1.00084
ρ,0.08884,0.02751,0.04392,0.14134,1.00107
i0,2493.79661,828.56674,1131.63466,4054.84263,1.00147
R0,1.45697,0.08379,1.30976,1.61559,0.9998
