,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.22873,0.0271,0.18601,0.27859,1.00343
gamma,0.1126,0.02841,0.06638,0.1648,1.00321
rho,0.04161,0.00878,0.02569,0.05847,1.00233
i0,5915.8282,79.79254,5771.0,6067.0,1.01651
R0,2.09654,0.27969,1.58565,2.61168,1.00327
