,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.09392,0.02904,0.04736,0.13127,1.30921
γ,0.07315,0.00744,0.05989,0.08734,1.02805
ρ,0.03742,0.0108,0.01911,0.05894,1.05558
i0,18633.77536,6452.46241,8906.85965,32332.49767,1.05708
R0,0.85636,0.27933,0.45572,1.10428,1.42856
