,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.19265,0.03047,0.13838,0.247,1.00383
γ,0.12778,0.01263,0.10421,0.15126,1.0029
ρ,0.09654,0.02797,0.05028,0.14717,1.00402
i0,9298.50492,2737.55402,4639.85915,14366.00666,1.00398
R0,0.85639,0.03137,0.79618,0.91279,1.00184
