,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.14978,0.03189,0.09224,0.20569,1.0054
γ,0.07267,0.00723,0.05899,0.086,1.00174
ρ,0.11192,0.03159,0.05796,0.16882,1.00521
i0,7959.00023,2284.22055,4189.46588,12358.78625,1.00563
R0,0.8064,0.04453,0.72529,0.89385,1.00268
