,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.1113,0.01898,0.08685,0.14444,1.00369
gamma,0.02594,0.01834,0.00447,0.05745,1.00256
rho,0.05285,0.00974,0.03544,0.07143,1.00349
i0,5920.7416,76.95295,5776.0,6071.0,1.00205
R0,1.45898,0.26785,1.00586,1.92708,1.0033
