,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.34359,0.02727,0.29777,0.39644,1.00225
gamma,0.07531,0.02317,0.03552,0.11847,1.00113
rho,0.03919,0.01214,0.02089,0.06364,1.00099
i0,337.56573,104.73152,162.23204,533.53542,1.00136
R0,3.10627,0.48694,2.25764,4.05401,1.00119
