,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.37338,0.06078,0.27109,0.48078,1.00142
γ,0.0742,0.02239,0.03738,0.11755,1.00128
ρ,0.10562,0.05398,0.02712,0.1983,1.00093
i0,294.75556,163.96972,62.34092,598.44127,1.00113
R0,2.17699,0.37183,1.54901,2.8845,1.00108
