,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.43457,0.03968,0.36642,0.51032,1.00224
γ,0.0716,0.00712,0.05868,0.08537,1.00185
ρ,0.091,0.02703,0.04436,0.14012,1.00032
i0,73.93649,32.08623,22.39128,135.50572,1.00155
R0,2.7206,0.34253,2.07789,3.34506,1.00083
