,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.14331,0.02116,0.11435,0.17901,1.00091
gamma,0.02699,0.01986,0.00565,0.06066,1.00153
rho,0.04562,0.00948,0.02762,0.06244,1.0017
i0,5914.2076,74.42683,5778.0,6059.0,1.00289
R0,2.07727,0.46629,1.32765,2.93522,1.00151
