,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.3263,0.05934,0.22394,0.43367,1.00213
γ,0.07439,0.02202,0.03883,0.11645,1.00223
ρ,0.11246,0.05444,0.02928,0.20988,1.0023
i0,1156.06287,615.27484,270.49193,2225.40926,1.00269
R0,1.81359,0.25144,1.38476,2.29959,1.00114
