,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.3066,0.02728,0.25981,0.35988,1.00082
gamma,0.07602,0.02301,0.03793,0.12033,1.00208
rho,0.03887,0.01255,0.0179,0.06201,1.001
i0,468.90659,156.88336,209.60244,759.73837,1.00161
R0,2.75452,0.40268,2.07883,3.53005,1.00103
