,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.27373,0.02629,0.22531,0.31924,1.00429
gamma,0.0773,0.02358,0.03639,0.12098,1.0028
rho,0.03951,0.01217,0.01878,0.06204,1.00269
i0,664.59608,210.36665,309.24093,1042.35201,1.0026
R0,2.41094,0.31815,1.86633,3.03456,1.00454
