,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.45603,0.0431,0.37796,0.53285,1.00454
γ,0.12564,0.01235,0.10354,0.14922,1.0024
ρ,0.08613,0.02567,0.04303,0.13263,1.00426
i0,101.20984,46.62841,26.94619,187.18558,1.0046
R0,2.17349,0.21808,1.78779,2.56594,1.00214
