,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.35802,0.0339,0.29906,0.42492,1.0037
γ,0.12602,0.0127,0.10302,0.15036,1.0008
ρ,0.08739,0.02609,0.04298,0.13581,1.00491
i0,783.83659,283.1651,330.15986,1321.55996,1.00395
R0,1.69033,0.12469,1.47486,1.92959,1.00196
