,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.29411,0.03272,0.23766,0.3559,1.00353
γ,0.12604,0.01251,0.10291,0.14941,1.00144
ρ,0.09078,0.02803,0.04456,0.14475,1.00337
i0,3695.52178,1228.14085,1721.12671,5975.9742,1.00174
R0,1.36371,0.08049,1.22645,1.52474,1.00173
