,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.2974,0.03105,0.24273,0.3557,1.00315
γ,0.07152,0.0073,0.0586,0.0853,1.00166
ρ,0.09336,0.02784,0.04786,0.14697,1.00287
i0,360.89831,139.98512,128.95621,609.53418,1.00194
R0,1.82711,0.15965,1.52149,2.11759,1.0018
