,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.28494,0.02632,0.23896,0.33368,1.00355
gamma,0.07658,0.02339,0.03766,0.11878,1.00193
rho,0.03901,0.01201,0.0176,0.05977,1.00347
i0,580.20476,179.98542,264.56518,910.58838,1.00316
R0,2.5393,0.34812,1.96587,3.22972,1.00157
