,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.344,0.07037,0.24492,0.47676,1.00215
gamma,0.09331,0.06675,0.01034,0.21372,1.00258
rho,0.05022,0.02419,0.01446,0.09366,1.00253
i0,119.11364,63.01775,28.41241,229.72135,1.00558
R0,2.71813,0.8136,1.48278,4.21533,0.99981
