,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.32998,0.07445,0.2172,0.4666,1.01128
gamma,0.09619,0.06977,0.01055,0.22606,1.01323
rho,0.05013,0.02485,0.01402,0.09709,1.00787
i0,148.82534,85.02405,31.89026,304.48462,1.00908
R0,2.53925,0.72088,1.39124,3.79922,1.01134
