,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.35608,0.06634,0.25127,0.48823,1.00372
gamma,0.0881,0.06093,0.00631,0.19977,1.00383
rho,0.04944,0.02379,0.0122,0.09095,1.00656
i0,103.83667,58.42388,25.87907,206.40971,1.00607
R0,2.94197,0.91484,1.55611,4.64053,1.00709
