,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.2753,0.08162,0.16174,0.44158,1.01131
gamma,0.10784,0.07808,0.00826,0.25658,1.00988
rho,0.05219,0.02823,0.01206,0.10188,1.00559
i0,460.67232,263.73295,78.77273,953.57593,1.00434
R0,1.90889,0.46943,1.23711,2.7648,1.01133
