,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.25248,0.08582,0.12917,0.42205,1.00697
gamma,0.12113,0.08367,0.00847,0.27795,1.00994
rho,0.05122,0.02701,0.01368,0.09833,1.00753
i0,850.73242,498.0923,196.97016,1765.50093,1.01002
R0,1.57732,0.28514,1.13772,2.0484,1.00316
