,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.07024,0.03739,0.02977,0.10413,1.63821
γ,0.07479,0.00654,0.06288,0.08851,1.19168
ρ,0.01917,0.00553,0.00888,0.02911,1.10991
i0,15238.44064,6035.17829,6048.28156,28716.65243,1.29814
R0,0.7585,0.4383,0.308,1.08197,1.70219
