,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.29426,0.07257,0.18413,0.43102,1.0074
gamma,0.10034,0.06845,0.01224,0.22982,1.00706
rho,0.05246,0.0265,0.01509,0.10371,1.0034
i0,294.33859,187.44271,57.67709,641.14556,1.00723
R0,2.12705,0.52668,1.30736,3.08136,1.01011
