,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.51922,0.12666,0.35324,0.74618,1.55822
gamma,0.4886,0.12665,0.3211,0.71402,1.558
rho,0.04486,0.01095,0.02765,0.06225,1.55434
i0,8282.603,88.49271,8124.0,8461.0,1.21136
R0,1.06675,0.01629,1.04177,1.0938,1.55294
