,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.2703,0.02694,0.2244,0.32198,1.00307
gamma,0.07668,0.02321,0.0363,0.1196,1.00208
rho,0.03948,0.01231,0.01937,0.06285,1.00336
i0,248.25,80.94167,114.58902,403.20821,1.00334
R0,2.39307,0.3109,1.82724,2.96991,1.00284
