,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.34976,0.03095,0.29764,0.413,1.00469
gamma,0.07587,0.02335,0.03694,0.11814,1.00199
rho,0.03885,0.01194,0.01875,0.06056,1.00526
i0,106.05519,34.04243,50.15502,171.83886,1.00646
R0,3.15349,0.50863,2.28042,4.12206,1.00279
