,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.30021,0.0259,0.25799,0.35222,1.00196
gamma,0.07635,0.02286,0.03867,0.11909,1.00237
rho,0.03895,0.01145,0.01845,0.05961,1.00168
i0,164.78181,49.70602,80.9378,258.75093,1.00225
R0,2.68175,0.36861,2.05551,3.40013,1.00081
