,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.34698,0.02759,0.29835,0.39966,1.00283
gamma,0.07674,0.02412,0.03662,0.12029,1.00178
rho,0.03876,0.01187,0.01937,0.06125,1.00176
i0,98.49645,31.11214,46.20701,155.41419,1.00254
R0,3.1102,0.48896,2.26224,4.0527,1.00199
