,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.4124,0.09079,0.26659,0.5682,1.01066
gamma,0.09205,0.0687,0.0088,0.20671,1.00952
rho,0.04825,0.02429,0.01201,0.0923,1.00234
i0,64.398,48.22572,5.97359,145.06442,1.00693
R0,3.42564,1.3172,1.5944,5.89695,1.00623
