,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.06543,0.02485,0.03079,0.11127,1.17274
γ,0.07348,0.01888,0.0463,0.10658,1.5008
ρ,0.03132,0.02174,0.00652,0.07172,1.14999
i0,12683.63358,7024.21696,2125.65525,22974.00478,1.08587
R0,0.62563,0.14063,0.36672,0.89182,1.0943
