,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.28497,0.07778,0.16645,0.42069,1.00529
gamma,0.10542,0.07581,0.01002,0.24422,1.00549
rho,0.05214,0.02732,0.01002,0.09928,1.01013
i0,366.87628,238.44211,66.47385,766.40841,1.00832
R0,2.00607,0.53544,1.24774,2.8645,1.00455
