,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.38124,0.0716,0.26427,0.51348,1.00478
gamma,0.08916,0.06358,0.0109,0.20375,1.0076
rho,0.04976,0.02488,0.01326,0.0963,1.00381
i0,80.93667,49.32054,12.56946,171.0504,1.00151
R0,3.15437,1.04935,1.60397,5.15233,1.00279
