,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.32432,0.02673,0.27696,0.37602,1.002
gamma,0.07576,0.02282,0.03672,0.11747,1.00095
rho,0.03918,0.01195,0.01849,0.06116,1.00209
i0,121.87545,40.36763,55.24012,193.23557,1.0023
R0,2.91206,0.43146,2.15812,3.7155,1.00229
