,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.32734,0.0705,0.22628,0.45869,1.00911
gamma,0.0944,0.06755,0.0112,0.22038,1.00786
rho,0.04867,0.02364,0.01319,0.09465,1.00733
i0,160.67556,92.59876,35.26412,321.66598,1.00766
R0,2.57191,0.71994,1.36894,3.78238,1.01142
