,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.29164,0.08137,0.17214,0.43816,1.01151
gamma,0.10831,0.07952,0.01202,0.25168,1.00601
rho,0.05223,0.02682,0.01063,0.09835,1.00267
i0,345.31009,224.1783,67.50846,711.35002,1.00722
R0,2.03062,0.53896,1.26352,2.92807,1.0075
