,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.30257,0.03023,0.24734,0.35994,1.00246
gamma,0.07667,0.02379,0.03849,0.12117,1.00289
rho,0.0394,0.01203,0.01924,0.06103,1.00258
i0,120.31257,38.35776,57.53131,194.66071,1.00234
R0,2.69154,0.41816,1.97522,3.46889,1.00145
