,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.23001,0.08885,0.11203,0.39518,1.01087
gamma,0.12462,0.08649,0.01176,0.28254,1.00642
rho,0.05493,0.03024,0.01106,0.10852,1.0081
i0,1360.52434,791.82295,254.23791,2825.92825,1.00441
R0,1.34747,0.18766,1.07944,1.67406,1.00448
