,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.1351,0.02136,0.09367,0.1702,1.38813
γ,0.07258,0.00713,0.05943,0.08538,1.03096
ρ,0.02906,0.00855,0.01447,0.04534,1.0099
i0,6811.73845,2146.47324,2937.19896,10757.65755,1.01012
R0,1.33773,0.21507,0.96582,1.668,1.44085
