,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.28883,0.03079,0.23578,0.34667,1.00099
γ,0.12635,0.0128,0.10387,0.15089,0.99992
ρ,0.08984,0.02699,0.04499,0.1411,1.00188
i0,3839.25427,1230.04018,1715.1662,6092.85109,1.00141
R0,1.3422,0.06789,1.2163,1.46541,1.00052
