,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.35302,0.03327,0.29206,0.41399,1.00194
γ,0.12594,0.01284,0.1021,0.15015,1.00153
ρ,0.08726,0.02744,0.04243,0.13809,1.00237
i0,1313.51543,458.16735,550.6663,2150.28681,1.00245
R0,1.66887,0.11457,1.46599,1.89227,1.00135
