,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.36277,0.0316,0.30639,0.4202,1.00562
γ,0.12531,0.01267,0.10309,0.15009,1.00055
ρ,0.08821,0.02684,0.04288,0.13691,1.00406
i0,293.14217,112.6801,120.14403,510.62528,1.00375
R0,1.71133,0.11002,1.50778,1.92197,1.00205
