,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.40635,0.03551,0.34096,0.47376,1.0016
γ,0.12533,0.01242,0.10424,0.14992,1.00173
ρ,0.08666,0.026,0.04212,0.13478,1.00147
i0,311.88273,127.98429,107.72531,544.03103,1.00208
R0,1.93325,0.1597,1.64025,2.21957,1.00115
