,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.19447,0.0319,0.13673,0.25484,1.00613
γ,0.12797,0.01255,0.10391,0.15084,1.00104
ρ,0.09832,0.02949,0.04833,0.15361,1.00572
i0,9216.42929,2862.34103,4745.30185,14923.95149,1.00588
R0,0.85666,0.03236,0.79516,0.91592,1.00327
