,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.43395,0.03465,0.37252,0.50032,1.00222
γ,0.12524,0.01269,0.10156,0.14891,1.0011
ρ,0.08654,0.02625,0.04253,0.13547,1.00146
i0,120.12172,48.83081,44.41894,212.25067,1.00253
R0,2.06832,0.17189,1.76729,2.40006,1.001
