,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.36232,0.03265,0.30066,0.41995,1.00361
γ,0.12546,0.01276,0.10331,0.15094,1.00248
ρ,0.08762,0.02626,0.04183,0.13402,1.00263
i0,289.17988,116.75025,114.80882,517.8771,1.00487
R0,1.71275,0.11435,1.50676,1.93169,1.0002
