,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.17149,0.03436,0.10785,0.22696,1.38006
γ,0.07272,0.00792,0.05749,0.08686,1.08104
ρ,0.11346,0.02643,0.06113,0.1513,1.14926
i0,5536.9116,1452.94721,3453.18037,8567.49989,1.1612
R0,0.91766,0.10733,0.74812,1.00529,1.99961
