,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.31383,0.03041,0.25648,0.36993,1.00147
γ,0.12595,0.01243,0.10379,0.1494,1.00105
ρ,0.08911,0.02673,0.04636,0.14321,1.00231
i0,656.66914,234.42254,286.53918,1079.11069,1.0029
R0,1.46783,0.07113,1.33582,1.59984,1.00114
