,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.36977,0.01861,0.33604,0.4058,1.00144
γ,0.12476,0.01252,0.10139,0.14668,1.00171
ρ,0.00239,0.00071,0.00119,0.00364,1.00285
i0,1152.94692,390.41499,463.75605,1883.9374,1.00231
R0,2.92645,0.2162,2.56361,3.36651,1.00074
