,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.18233,0.02869,0.13204,0.2321,1.52346
γ,0.12781,0.01297,0.10368,0.15213,1.01187
ρ,0.02813,0.00823,0.01495,0.04334,1.00278
i0,12498.82415,3959.01053,5741.04355,19801.71914,1.04502
R0,1.17211,0.16785,0.94781,1.43909,1.69534
