,mean,sd,hdi_3%,hdi_97%,r_hat
beta,0.31087,0.03404,0.25426,0.37571,1.00245
gamma,0.07988,0.03251,0.02757,0.13915,1.00253
rho,0.03682,0.01078,0.01903,0.05754,1.00112
i0,14.7706,4.5838,7.18041,23.58416,1.00128
R0,2.7954,0.49781,1.92475,3.70865,1.00198
