,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.37832,0.03889,0.30934,0.45096,1.00166
γ,0.12359,0.01262,0.10017,0.14668,0.99988
ρ,0.00796,0.00248,0.00383,0.01262,1.00269
i0,54.83952,29.4818,9.55055,111.61956,1.00212
R0,2.89362,0.33578,2.30946,3.51505,1.00135
