,mean,sd,hdi_3%,hdi_97%,r_hat
β,0.41491,0.04205,0.34441,0.49959,1.00183
γ,0.06949,0.0204,0.03534,0.10692,1.00042
ρ,0.00874,0.00448,0.00242,0.01725,1.00159
i0,9.88736,7.50186,1.04818,23.53743,1.0012
R0,5.61535,1.34879,3.49462,8.37957,1.00159
